, ,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
ц,0.00036589828027808267,0.00042688132699109647,0.0,6.098304671301378e-05,0.0,0.0,0.0006098304671301379,0.0,0.0,0.0,0.0005488474204171241,0.0,6.098304671301378e-05,0.0,0.0,0.0,6.098304671301378e-05,0.0,0.0,0.0,6.098304671301378e-05,6.098304671301378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012196609342602757,0.0,0.0,0.0,0.0
ч,6.098304671301378e-05,0.0018904744481034273,0.0,0.0,0.0,0.0,0.003354067569215758,0.0,0.0,0.0,0.0012806439809732895,0.0,0.00036589828027808267,6.098304671301378e-05,0.0,0.0007927796072691791,0.00012196609342602757,0.0,6.098304671301378e-05,0.0,0.002622271008659593,0.0008537626539821929,0.0,0.0,0.0,0.0,0.00018294914013904133,0.0,0.0,0.0,0.00024393218685205513,0.0,0.0,0.0
ш,0.00012196609342602757,0.0006708135138431517,0.0,6.098304671301378e-05,0.0,0.0,0.0020734235882424686,0.0,0.0,0.0,0.0012806439809732895,0.0,0.0013416270276863033,0.0006098304671301379,0.0,6.098304671301378e-05,0.00024393218685205513,0.0,0.0,0.0,6.098304671301378e-05,0.00036589828027808267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006708135138431517,0.0,0.0,0.0
щ,0.0,0.00018294914013904133,0.0,0.0,0.0,0.0,0.001951457494816441,0.0,0.0,0.0,0.0009757287474082205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024393218685205513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ъ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012196609342602757
ы,0.0043907793633369925,0.0,0.00030491523356506893,0.0012196609342602757,6.098304671301378e-05,0.0,0.0014026100743993169,0.0,6.098304671301378e-05,0.00018294914013904133,6.098304671301378e-05,0.0010976948408342481,0.00024393218685205513,0.0026832540553726066,0.0012806439809732895,6.098304671301378e-05,0.0,0.00036589828027808267,0.00042688132699109647,0.0005488474204171241,0.0006098304671301379,0.0,0.0,0.0009147457006952067,0.0,0.00018294914013904133,0.00048786437370411026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ь,0.009452372240517136,0.0,0.0,0.0,0.0,0.0,0.00012196609342602757,0.0,6.098304671301378e-05,0.00030491523356506893,6.098304671301378e-05,0.0,0.0015855592145383583,0.0,0.0,0.0023783388218075376,0.0,0.0,0.0,0.0014026100743993169,6.098304671301378e-05,0.0,0.0,0.0,0.00036589828027808267,0.0,0.00042688132699109647,0.0,0.0,0.0,0.0,0.0,0.0007317965605561653,0.00012196609342602757
э,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.098304671301378e-05,0.0,0.0,0.0,0.0,0.0,0.00024393218685205513,0.0,0.0018294914013904135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.098304671301378e-05,0.0,0.0
ю,0.003049152335650689,0.0,0.00012196609342602757,0.0,0.0,0.00018294914013904133,0.0,0.0,0.0,0.0,0.0,0.0,6.098304671301378e-05,6.098304671301378e-05,0.0,6.098304671301378e-05,0.0,0.0,6.098304671301378e-05,0.00024393218685205513,0.0,0.0,0.0,0.0,0.0,0.00012196609342602757,0.0,0.0006098304671301379,0.0,0.0,0.0,0.0,0.0,0.0
я,0.01853884620075619,0.0,0.0,0.00024393218685205513,0.00036589828027808267,0.0006708135138431517,6.098304671301378e-05,0.0,0.00012196609342602757,0.00048786437370411026,0.00024393218685205513,0.0,6.098304671301378e-05,0.0008537626539821929,0.00024393218685205513,0.0007317965605561653,0.0,6.098304671301378e-05,6.098304671301378e-05,0.0007317965605561653,0.0009147457006952067,0.0,0.0,6.098304671301378e-05,6.098304671301378e-05,0.00012196609342602757,6.098304671301378e-05,0.00048786437370411026,0.0,0.0,0.0,0.0,0.00012196609342602757,0.00030491523356506893
Entropy,7.934020490684459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1.1823234705530101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
