, ,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
у,0.006921786857752707,6.098490623570666e-05,0.0006098490623570666,0.0011282207653605732,0.0009452660466534533,0.00192102454642476,0.00012196981247141332,0.0,0.00155511510901052,0.00018295471870711998,0.0,3.049245311785333e-05,0.0014331452965391067,0.0025613660618996796,0.0008537886872998933,0.00033541698429638664,0.0,0.0006708339685927733,0.0003964018905320933,0.0017685622808354933,0.0019820094526604667,0.0,0.0,0.0004878792498856533,0.0,0.0010672358591248667,0.0005793566092392133,0.00036590943741423996,0.0,0.0,0.0,0.0,0.00118920567159628,0.00012196981247141332
ф,0.0,0.00024393962494282664,0.0,0.0,0.0,0.0,0.00024393962494282664,0.0,0.0,0.0,0.00012196981247141332,0.0,0.0,0.0,0.0,0.0,6.098490623570666e-05,0.0,3.049245311785333e-05,0.0,3.049245311785333e-05,6.098490623570666e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.098490623570666e-05,0.0,0.0,0.0,0.0
х,0.0028662905930782133,0.0003964018905320933,0.0,0.00054886415612136,0.0,0.0,6.098490623570666e-05,0.0,0.0,0.0,0.00018295471870711998,0.0,0.0,0.00015246226558926666,9.147735935355999e-05,0.0005183717030035066,0.0023479188900747067,0.0,6.098490623570666e-05,6.098490623570666e-05,0.0,0.00012196981247141332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ц,0.0003964018905320933,0.0003049245311785333,0.0,0.00012196981247141332,0.0,0.0,0.0005793566092392133,0.0,0.0,0.0,0.00033541698429638664,0.0,3.049245311785333e-05,0.0,0.0,0.0,9.147735935355999e-05,0.0,0.0,0.0,3.049245311785333e-05,3.049245311785333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033541698429638664,0.0,0.0,0.0,0.0
ч,6.098490623570666e-05,0.0023479188900747067,0.0,0.0,0.0,0.0,0.0028662905930782133,0.0,0.0,0.0,0.0015856075621283733,0.0,0.00036590943741423996,0.00012196981247141332,0.0,0.0007623113279463333,9.147735935355999e-05,0.0,3.049245311785333e-05,0.0,0.0028662905930782133,0.0008537886872998933,0.0,0.0,0.0,0.0,0.00015246226558926666,0.0,0.0,0.0,0.00021344717182497332,0.0,0.0,0.0
ш,0.00015246226558926666,0.0006403415154749199,0.0,3.049245311785333e-05,0.0,0.0,0.0016465924683640798,0.0,0.0,0.0,0.0014636377496569598,0.0,0.0012196981247141333,0.0004878792498856533,0.0,0.00015246226558926666,0.00033541698429638664,0.0,0.0,0.0,9.147735935355999e-05,0.00027443207806068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007928037810641867,0.0,0.0,0.0
щ,0.0,0.00033541698429638664,0.0,0.0,0.0,0.0,0.001951516999542613,0.0,0.0,0.0,0.0007928037810641867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003049245311785333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ъ,0.0,0.0,0.0,0.0,0.0,0.0,3.049245311785333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.147735935355999e-05
ы,0.003933526452203079,0.0,0.00045738679676779996,0.0011587132184784266,0.00012196981247141332,0.00012196981247141332,0.0012501905778319867,0.0,3.049245311785333e-05,0.00018295471870711998,6.098490623570666e-05,0.0011587132184784266,0.00018295471870711998,0.00237841134319256,0.0013416679371855466,6.098490623570666e-05,0.0,0.00027443207806068,0.00033541698429638664,0.0006098490623570666,0.0006098490623570666,0.0,0.0,0.0009147735935355999,0.0,0.00015246226558926666,0.00033541698429638664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ь,0.009757584997713066,0.0,3.049245311785333e-05,0.0,0.0,0.0,0.00021344717182497332,0.0,3.049245311785333e-05,0.00024393962494282664,3.049245311785333e-05,0.0,0.0014941302027748132,0.0,0.0,0.00201250190577832,0.0,0.0,0.0,0.0016161000152462265,6.098490623570666e-05,0.0,0.0,0.0,0.00027443207806068,0.0,0.00045738679676779996,0.0,0.0,0.0,0.0,0.0,0.0007623113279463333,0.00012196981247141332
э,3.049245311785333e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.049245311785333e-05,3.049245311785333e-05,3.049245311785333e-05,3.049245311785333e-05,0.0,0.0,0.00012196981247141332,6.098490623570666e-05,0.0018905320933069066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.049245311785333e-05,0.0,0.0
ю,0.00301875285866748,0.0,0.00015246226558926666,0.0,0.0,0.00012196981247141332,0.0,0.0,0.0,0.0,0.0,0.0,3.049245311785333e-05,6.098490623570666e-05,3.049245311785333e-05,6.098490623570666e-05,0.0,0.0,6.098490623570666e-05,0.00021344717182497332,0.00015246226558926666,0.0,0.0,0.0,0.0,6.098490623570666e-05,0.0,0.0009757584997713066,0.0,0.0,0.0,0.0,0.0,0.0
я,0.018325964323829852,0.0,0.0,0.00042689434364994664,0.00033541698429638664,0.0007318188748284799,9.147735935355999e-05,0.0,6.098490623570666e-05,0.00033541698429638664,0.00018295471870711998,3.049245311785333e-05,6.098490623570666e-05,0.0009757584997713066,0.00027443207806068,0.0006403415154749199,0.0,3.049245311785333e-05,0.00015246226558926666,0.0005183717030035066,0.0011282207653605732,0.0,0.0,9.147735935355999e-05,3.049245311785333e-05,6.098490623570666e-05,6.098490623570666e-05,0.0003964018905320933,0.0,0.0,0.0,0.0,0.00015246226558926666,0.00024393962494282664
Entropy,7.9463414187717465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1.2655468757742572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
