,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
р,0.0075166022038969564,0.0,0.00036488360213092025,7.297672042618404e-05,0.00014595344085236808,0.008976136612420638,0.0,0.00021893016127855214,0.0,0.004743486827701963,0.0,0.00036488360213092025,0.00014595344085236808,0.00036488360213092025,0.0010946508063927607,0.007881485806027877,0.00014595344085236808,0.00021893016127855214,0.0005108370429832884,0.0006567904838356564,0.0026271619353426257,0.0,0.00021893016127855214,0.00014595344085236808,0.0,0.00014595344085236808,0.0,0.0,0.0024082317740640735,0.0007297672042618405,0.0,0.0,0.001605487849376049
с,0.001751441290228417,7.297672042618404e-05,0.0016784645698022331,0.0,0.00036488360213092025,0.004889440268554331,0.0,0.00014595344085236808,0.0,0.0012406042472451289,0.0,0.004889440268554331,0.003283952419178282,0.0013865576880974968,0.001824418010654601,0.003210975698752098,0.002919068817047362,0.00029190688170473617,0.0007297672042618405,0.012041158870320368,0.00036488360213092025,0.0,0.00029190688170473617,0.0,0.00021893016127855214,7.297672042618404e-05,0.0,0.0,0.00036488360213092025,0.0037947894621615705,7.297672042618404e-05,0.00029190688170473617,0.006348974677078012
т,0.006421951397504196,0.00021893016127855214,0.0021893016127855214,7.297672042618404e-05,0.00021893016127855214,0.005692184193242356,0.0,0.00014595344085236808,7.297672042618404e-05,0.005765160913668539,0.0,0.0009486973655403926,0.00029190688170473617,0.0005108370429832884,0.0021893016127855214,0.01532511128949865,0.0005838137634094723,0.0026271619353426257,0.001751441290228417,0.00029190688170473617,0.00270013865576881,0.0,0.0,0.0,0.0005108370429832884,0.0,0.0,0.0,0.0025541852149164415,0.006640881558782748,7.297672042618404e-05,7.297672042618404e-05,0.0018973947310807853
у,0.00036488360213092025,0.0007297672042618405,0.001532511128949865,0.0013135809676713128,0.0024812084944902577,0.00014595344085236808,0.0,0.001824418010654601,0.0005838137634094723,0.0005838137634094723,7.297672042618404e-05,0.0024082317740640735,0.00270013865576881,0.0021893016127855214,0.001605487849376049,0.00021893016127855214,0.001532511128949865,0.0004378603225571043,0.002919068817047362,0.0027731153761949936,0.00029190688170473617,0.0,0.0007297672042618405,0.0,0.001459534408523681,0.00029190688170473617,0.0005108370429832884,0.0,0.0,0.0,7.297672042618404e-05,0.001459534408523681,0.0005838137634094723
ф,0.00029190688170473617,0.0,0.0,0.0,0.0,0.00036488360213092025,0.0,0.0,0.0,0.00021893016127855214,0.0,0.0,0.0,0.0,0.0,0.00014595344085236808,0.0,7.297672042618404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.0,0.0,0.0
х,0.00036488360213092025,7.297672042618404e-05,0.0008757206451142086,0.00036488360213092025,0.00014595344085236808,0.00014595344085236808,0.0,0.0,0.00029190688170473617,0.0005108370429832884,0.0,7.297672042618404e-05,0.00014595344085236808,0.00029190688170473617,0.0006567904838356564,0.003283952419178282,0.0005108370429832884,0.00029190688170473617,0.00036488360213092025,0.00014595344085236808,0.00021893016127855214,0.0,0.0,0.0,0.00014595344085236808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.297672042618404e-05
ц,0.00029190688170473617,0.0,0.00021893016127855214,0.0,0.0,0.0006567904838356564,0.0,0.0,7.297672042618404e-05,0.0005108370429832884,0.0,7.297672042618404e-05,0.0,0.0,0.00014595344085236808,0.00021893016127855214,0.0,7.297672042618404e-05,7.297672042618404e-05,0.0,0.0,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.0,0.0,0.00021893016127855214,0.0,0.0,0.0,0.0
ч,0.003283952419178282,0.0,0.0,0.0,0.0,0.003502882580456834,0.0,0.0,0.0,0.001532511128949865,0.0,0.0005108370429832884,0.00021893016127855214,0.0,0.0007297672042618405,7.297672042618404e-05,0.0,7.297672042618404e-05,0.0,0.00342990586003065,0.0010216740859665767,0.0,0.0,0.0,0.0,0.00021893016127855214,0.0,0.0,0.0,0.00021893016127855214,0.0,0.0,0.0
ш,0.0008757206451142086,0.0,0.0,0.0,0.0,0.0024082317740640735,0.0,0.0,0.0,0.0016784645698022331,0.0,0.001824418010654601,0.0005108370429832884,0.0,0.00029190688170473617,0.00014595344085236808,7.297672042618404e-05,0.0,0.0,0.00014595344085236808,0.00029190688170473617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010946508063927607,0.0,0.0,0.00014595344085236808
щ,0.0004378603225571043,0.0,0.0,0.0,0.0,0.0021893016127855214,0.0,0.0,0.0,0.0010946508063927607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004378603225571043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ъ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014595344085236808
ы,0.00014595344085236808,0.0008027439246880245,0.0019703714515069692,0.0,0.00036488360213092025,0.001605487849376049,0.0,0.0,0.0006567904838356564,0.00014595344085236808,0.001532511128949865,0.00021893016127855214,0.002919068817047362,0.0016784645698022331,0.0009486973655403926,0.00014595344085236808,0.0010216740859665767,0.0005838137634094723,0.0010216740859665767,0.0010216740859665767,0.00014595344085236808,0.0,0.0013865576880974968,0.0,0.00036488360213092025,0.0005108370429832884,0.0,0.0,0.0,0.0,0.00014595344085236808,0.0,0.00021893016127855214
ь,0.00021893016127855214,0.0004378603225571043,0.0011676275268189447,0.00029190688170473617,0.0008027439246880245,0.0004378603225571043,0.0,0.0,0.0005108370429832884,0.0005838137634094723,0.0,0.002116324892359337,7.297672042618404e-05,0.0008757206451142086,0.003648836021309202,0.0007297672042618405,0.0010216740859665767,0.00021893016127855214,0.0035758593008830184,0.0006567904838356564,7.297672042618404e-05,7.297672042618404e-05,7.297672042618404e-05,0.0005838137634094723,0.00021893016127855214,0.0004378603225571043,7.297672042618404e-05,0.0,0.0,0.0,7.297672042618404e-05,0.0010216740859665767,0.0004378603225571043
э,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.0,0.0,0.0,0.00014595344085236808,7.297672042618404e-05,0.0020433481719331534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.0
ю,7.297672042618404e-05,0.00021893016127855214,0.0005838137634094723,7.297672042618404e-05,0.0004378603225571043,0.0,0.0,0.0,0.00029190688170473617,0.0004378603225571043,0.0,0.00014595344085236808,0.00021893016127855214,0.00014595344085236808,0.0004378603225571043,0.00036488360213092025,0.0004378603225571043,0.00014595344085236808,0.0005108370429832884,0.00021893016127855214,7.297672042618404e-05,0.0,7.297672042618404e-05,0.0,0.00029190688170473617,0.0,0.0010216740859665767,0.0,0.0,0.0,0.00014595344085236808,0.0,0.0
я,0.0005108370429832884,0.0006567904838356564,0.0029920455374735457,0.0005108370429832884,0.0018973947310807853,0.0007297672042618405,0.0,7.297672042618404e-05,0.0016784645698022331,0.0013135809676713128,7.297672042618404e-05,0.0011676275268189447,0.0016784645698022331,0.001605487849376049,0.003210975698752098,0.0013865576880974968,0.002846092096621178,0.0005838137634094723,0.0025541852149164415,0.0026271619353426257,0.0008757206451142086,7.297672042618404e-05,0.00029190688170473617,7.297672042618404e-05,0.0007297672042618405,0.00014595344085236808,0.0006567904838356564,0.0,0.0,0.0,0.00014595344085236808,0.00021893016127855214,0.0007297672042618405
Entropy,8.246508506027606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1.0731636149193893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
