,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
л,0.006275997956651828,0.00018244180106546012,0.0006567904838356564,0.0005108370429832884,0.0008392322849011166,0.006057067795373276,0.0,0.0004743486827701963,0.0002554185214916442,0.0068598117200613,0.0,0.0011311391666058528,0.0002554185214916442,0.0005838137634094723,0.001532511128949865,0.00740713712325768,0.0010216740859665767,0.00040137196234401223,0.004634021747062687,0.00021893016127855214,0.0016784645698022331,0.0,3.648836021309202e-05,0.0,0.0004743486827701963,3.648836021309202e-05,0.0,0.0,0.0009486973655403926,0.005509742392176896,0.00010946508063927607,0.0005838137634094723,0.0020798365321462453
м,0.00324746405896519,0.00040137196234401223,0.0010581624461796686,0.0002554185214916442,0.0004743486827701963,0.005144858790045975,0.0,7.297672042618404e-05,0.0002554185214916442,0.00342990586003065,0.0,0.0008757206451142086,0.00029190688170473617,0.0005473254031963803,0.0025541852149164415,0.00613004451579946,0.0009122090053273005,0.00014595344085236808,0.0009122090053273005,0.0004378603225571043,0.0024812084944902577,3.648836021309202e-05,0.00010946508063927607,0.0,0.0004378603225571043,0.00018244180106546012,0.0,0.0,0.0012770926074582207,0.0,0.0004378603225571043,0.0,0.0009122090053273005
н,0.011092461504779974,0.00010946508063927607,0.0003283952419178282,3.648836021309202e-05,0.002846092096621178,0.01120192658541925,0.0,0.0,7.297672042618404e-05,0.00828285776837189,0.0,0.0004378603225571043,0.00014595344085236808,0.00014595344085236808,0.0025541852149164415,0.011530321827337079,0.0004378603225571043,0.00018244180106546012,0.0010581624461796686,0.0013865576880974968,0.0051813471502590676,0.0,0.00014595344085236808,0.0002554185214916442,0.00018244180106546012,0.0,0.0,0.0,0.0035758593008830184,0.0012770926074582207,0.0,0.00029190688170473617,0.0034663942202437423
о,0.00018244180106546012,0.004925928628767423,0.009596438736043203,0.0050718820696197915,0.005546230752389987,0.002955557177260454,0.0,0.0029920455374735457,0.003137998978325914,0.00270013865576881,0.0040502079836532145,0.0037583011019484782,0.007662555644749325,0.007480113843683865,0.007954462526454062,0.001751441290228417,0.004816463548128147,0.006823323359848209,0.010581624461796687,0.010362694300518135,0.0012770926074582207,0.0003283952419178282,0.0008392322849011166,0.00014595344085236808,0.003101510618112822,0.0010216740859665767,0.0002554185214916442,0.0,0.0,0.0,0.0004378603225571043,0.00036488360213092025,0.0022987666934247974
п,0.002955557177260454,0.0,0.0,0.0,3.648836021309202e-05,0.001824418010654601,0.0,0.0,0.0,0.0009851857257534846,0.0,0.0002554185214916442,0.0013135809676713128,0.0,0.00018244180106546012,0.012953367875647668,0.0,0.00813690432751952,0.0,0.00018244180106546012,0.0009122090053273005,0.0,0.0,0.0,3.648836021309202e-05,0.0,0.0,0.0,0.0005108370429832884,3.648836021309202e-05,0.0,0.0,0.00040137196234401223
р,0.007954462526454062,3.648836021309202e-05,0.0006567904838356564,7.297672042618404e-05,0.00010946508063927607,0.00828285776837189,0.0,0.0003283952419178282,7.297672042618404e-05,0.004816463548128147,0.0,0.00040137196234401223,0.00010946508063927607,0.0002554185214916442,0.001350069327884405,0.008757206451142086,0.00014595344085236808,0.00014595344085236808,0.0004378603225571043,0.0007297672042618405,0.0029920455374735457,0.0,0.0003283952419178282,0.00014595344085236808,0.0,0.00018244180106546012,3.648836021309202e-05,0.0,0.0023352550536378893,0.0006567904838356564,0.0,7.297672042618404e-05,0.0012770926074582207
с,0.0018609063708676932,0.00018244180106546012,0.001532511128949865,0.00018244180106546012,0.0004378603225571043,0.004561045026636503,0.0,0.00029190688170473617,0.0,0.0016784645698022331,0.0,0.005035393709406699,0.003393417499817558,0.001350069327884405,0.0018609063708676932,0.003210975698752098,0.003393417499817558,0.00036488360213092025,0.0006932788440487484,0.012770926074582209,0.0006932788440487484,0.0,0.00029190688170473617,7.297672042618404e-05,0.00010946508063927607,7.297672042618404e-05,0.0,0.0,0.0003283952419178282,0.0035758593008830184,7.297672042618404e-05,0.00021893016127855214,0.007151718601766037
т,0.006640881558782748,0.00021893016127855214,0.0023352550536378893,7.297672042618404e-05,0.00036488360213092025,0.005655695833029263,0.0,0.00021893016127855214,0.0002554185214916442,0.005363788951324527,0.0,0.0009486973655403926,0.00029190688170473617,0.0005473254031963803,0.0016784645698022331,0.014230460483105889,0.0007297672042618405,0.0027731153761949936,0.0014960227687367729,0.0002554185214916442,0.0021528132525724295,0.0,0.0,7.297672042618404e-05,0.00029190688170473617,0.0,0.0,0.0,0.0027731153761949936,0.007443625483470773,3.648836021309202e-05,7.297672042618404e-05,0.0017879296504415092
у,0.00036488360213092025,0.0009122090053273005,0.0016784645698022331,0.0012041158870320368,0.0027731153761949936,0.00021893016127855214,0.0,0.0019703714515069692,0.00036488360213092025,0.0005473254031963803,3.648836021309202e-05,0.0021893016127855214,0.003101510618112822,0.001824418010654601,0.001751441290228417,0.0002554185214916442,0.001568999489162957,0.0005473254031963803,0.0026636502955557175,0.0029920455374735457,0.0002554185214916442,0.0,0.0007662555644749325,0.0,0.001605487849376049,0.0006932788440487484,0.0004378603225571043,0.0,0.0,0.0,7.297672042618404e-05,0.001423046048310589,0.0004378603225571043
ф,0.00029190688170473617,0.0,0.0,0.0,0.0,0.00029190688170473617,0.0,0.0,0.0,0.00014595344085236808,0.0,0.0,0.0,0.0,0.0,7.297672042618404e-05,0.0,3.648836021309202e-05,0.0,3.648836021309202e-05,7.297672042618404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.0,0.0,0.0
